Date,nino12,nino3,nino4,nino34
1870-01-01,-1.50,-1.35,-0.48,-1.00
1870-02-01,-0.96,-1.20,-1.16,-1.20
1870-03-01,-0.65,-0.76,-1.01,-0.83
1870-04-01,-0.32,-0.78,-1.0,-0.81
1870-05-01,-0.64,-1.15,-1.08,-1.27
1870-06-01,-0.96,-0.99,-1.11,-1.08
1870-07-01,-0.98,-1.01,-0.98,-1.04
1870-08-01,-1.02,-0.89,-0.86,-0.88
1870-09-01,-1.02,-0.81,-0.44,-0.53
1870-10-01,-1.53,-1.25,-0.51,-0.92
1870-11-01,-1.42,-1.03,-0.62,-0.79
1870-12-01,-1.25,-0.95,-0.67,-0.79
1871-01-01,-0.74,-0.25,-0.55,-0.25
1871-02-01,-0.56,-0.52,-0.41,-0.58
1871-03-01,-0.78,-0.46,-0.44,-0.43
1871-04-01,-0.59,-0.57,-0.4,-0.5
1871-05-01,-0.76,-0.84,-0.7,-0.7
1871-06-01,-0.25,-0.52,-0.71,-0.53
1871-07-01,-0.34,-0.51,-0.87,-0.6
1871-08-01,-0.3,-0.34,-0.55,-0.33
1871-09-01,-0.35,-0.31,-0.45,-0.24
1871-10-01,-0.15,-0.37,-0.43,-0.33
1871-11-01,-0.37,-0.32,-0.52,-0.31
1871-12-01,-1.04,-0.63,-0.72,-0.58
1872-01-01,-1.18,-0.76,-0.76,-0.72
1872-02-01,-1.25,-0.74,-0.51,-0.62
1872-03-01,-1.02,-0.65,-0.39,-0.5
1872-04-01,-0.7,-0.86,-0.68,-0.77
1872-05-01,-0.75,-0.8,-0.61,-0.62
1872-06-01,-0.6,-0.61,-0.79,-0.52
1872-07-01,-0.7,-0.4,-0.75,-0.32
1872-08-01,-0.83,-0.83,-1.13,-0.85
1872-09-01,-0.66,-0.93,-1.15,-1.02
1872-10-01,-0.87,-1.12,-0.9,-0.94
1872-11-01,-0.63,-0.97,-0.74,-0.79
1872-12-01,-0.83,-1.01,-0.83,-0.88
1873-01-01,-0.88,-0.95,-0.77,-0.78
1873-02-01,-1.30,-1.18,-0.86,-1.01
